subject,rating,whenRated
sub-NDARTF781TM8_ses-HBNsiteCBIC,1,Mon Mar 29 2021 20:20:05 GMT-0700 (Pacific Daylight Time)
sub-NDARVC711ZK0_ses-HBNsiteCBIC,-2,Fri Apr 02 2021 13:42:53 GMT-0700 (Pacific Daylight Time)
sub-NDARDX857DLB_ses-HBNsiteRU,1,Fri Apr 02 2021 13:44:56 GMT-0700 (Pacific Daylight Time)
sub-NDARJH492TVW_ses-HBNsiteCBIC,2,Wed Apr 07 2021 19:35:36 GMT-0700 (Pacific Daylight Time)
sub-NDARTB203DU7_ses-HBNsiteCBIC,1,Wed Apr 07 2021 15:26:48 GMT-0700 (Pacific Daylight Time)
sub-NDARKM250ET5_ses-HBNsiteCBIC,-1,Tue Apr 06 2021 20:46:25 GMT-0700 (Pacific Daylight Time)
sub-NDAREX065KJU_ses-HBNsiteRU,-2,Wed Apr 07 2021 20:02:53 GMT-0700 (Pacific Daylight Time)
sub-NDARWG549LCF_ses-HBNsiteCBIC,0,Tue Apr 06 2021 20:51:49 GMT-0700 (Pacific Daylight Time)
sub-NDARGB528CP8_ses-HBNsiteCBIC,1,Wed Apr 07 2021 18:52:08 GMT-0700 (Pacific Daylight Time)
sub-NDARRL315KV3_ses-HBNsiteCBIC,2,Tue Apr 06 2021 14:44:08 GMT-0700 (Pacific Daylight Time)
sub-NDARNZ917TDK_ses-HBNsiteRU,-1,Wed Mar 31 2021 14:41:53 GMT-0700 (Pacific Daylight Time)
sub-NDARJA157YB3_ses-HBNsiteRU,2,Tue Mar 30 2021 17:53:59 GMT-0700 (Pacific Daylight Time)
sub-NDARME736MN8_ses-HBNsiteRU,2,Mon Mar 29 2021 20:32:28 GMT-0700 (Pacific Daylight Time)
sub-NDARLB547HJD_ses-HBNsiteRU,-2,Tue Apr 06 2021 20:44:42 GMT-0700 (Pacific Daylight Time)
sub-NDARUU801VFA_ses-HBNsiteRU,1,Tue Apr 06 2021 19:27:29 GMT-0700 (Pacific Daylight Time)
sub-NDARDJ204EPU_ses-HBNsiteCUNY,2,Wed Apr 07 2021 19:00:24 GMT-0700 (Pacific Daylight Time)
sub-NDARRK545WNM_ses-HBNsiteCBIC,1,Tue Mar 30 2021 17:37:36 GMT-0700 (Pacific Daylight Time)
sub-NDARTV034RN2_ses-HBNsiteRU,-1,Tue Apr 06 2021 21:19:22 GMT-0700 (Pacific Daylight Time)
sub-NDARTT194LTU_ses-HBNsiteRU,-1,Tue Apr 06 2021 16:31:08 GMT-0700 (Pacific Daylight Time)
sub-NDARDK794WV3_ses-HBNsiteCBIC,-2,Wed Apr 07 2021 19:03:22 GMT-0700 (Pacific Daylight Time)
sub-NDARRH344TL7_ses-HBNsiteRU,1,Mon Mar 29 2021 19:58:51 GMT-0700 (Pacific Daylight Time)
sub-NDARCU736GZ1_ses-HBNsiteCBIC,1,Wed Mar 31 2021 14:33:33 GMT-0700 (Pacific Daylight Time)
sub-NDARUP249AMD_ses-HBNsiteRU,1,Tue Mar 30 2021 17:55:44 GMT-0700 (Pacific Daylight Time)
sub-NDARVB151GXF_ses-HBNsiteCBIC,1,Wed Apr 07 2021 19:33:08 GMT-0700 (Pacific Daylight Time)
sub-NDARRP609JH2_ses-HBNsiteCBIC,-1,Tue Mar 30 2021 18:25:52 GMT-0700 (Pacific Daylight Time)
sub-NDARGP984YLN_ses-HBNsiteCBIC,-2,Wed Apr 07 2021 19:20:13 GMT-0700 (Pacific Daylight Time)
sub-NDARWV449GEM_ses-HBNsiteRU,-2,Wed Apr 07 2021 19:45:14 GMT-0700 (Pacific Daylight Time)
sub-NDARNF873FCV_ses-HBNsiteCBIC,2,Wed Mar 31 2021 14:49:26 GMT-0700 (Pacific Daylight Time)
sub-NDARDR950CGG_ses-HBNsiteRU,1,Tue Apr 06 2021 21:26:17 GMT-0700 (Pacific Daylight Time)
sub-NDARZV749GAP_ses-HBNsiteCBIC,2,Wed Apr 07 2021 18:59:29 GMT-0700 (Pacific Daylight Time)
sub-NDARLE417RA4_ses-HBNsiteRU,-2,Wed Apr 07 2021 19:56:46 GMT-0700 (Pacific Daylight Time)
sub-NDARPF042DD2_ses-HBNsiteRU,-1,Tue Apr 06 2021 16:55:07 GMT-0700 (Pacific Daylight Time)
sub-NDARDA472JE3_ses-HBNsiteRU,2,Tue Mar 30 2021 18:59:38 GMT-0700 (Pacific Daylight Time)
sub-NDARKV461KGZ_ses-HBNsiteRU,2,Wed Mar 31 2021 14:37:04 GMT-0700 (Pacific Daylight Time)
