subject,rating,whenRated
sub-NDARTF781TM8_ses-HBNsiteCBIC,2,Sun Mar 28 2021 20:39:27 GMT-0700 (Pacific Daylight Time)
sub-NDARVC711ZK0_ses-HBNsiteCBIC,-2,Sat Mar 27 2021 22:38:07 GMT-0700 (Pacific Daylight Time)
sub-NDARDX857DLB_ses-HBNsiteRU,1,Sun Mar 28 2021 15:25:22 GMT-0700 (Pacific Daylight Time)
sub-NDARJH492TVW_ses-HBNsiteCBIC,1,Sat Mar 27 2021 22:40:31 GMT-0700 (Pacific Daylight Time)
sub-NDARTB203DU7_ses-HBNsiteCBIC,1,Thu Apr 01 2021 23:13:55 GMT-0700 (Pacific Daylight Time)
sub-NDARKM250ET5_ses-HBNsiteCBIC,-2,Sat Mar 27 2021 16:04:19 GMT-0700 (Pacific Daylight Time)
sub-NDAREX065KJU_ses-HBNsiteRU,-2,Thu Apr 01 2021 22:34:52 GMT-0700 (Pacific Daylight Time)
sub-NDARWG549LCF_ses-HBNsiteCBIC,2,Sat Mar 27 2021 14:56:08 GMT-0700 (Pacific Daylight Time)
sub-NDARGB528CP8_ses-HBNsiteCBIC,2,Thu Apr 01 2021 23:15:19 GMT-0700 (Pacific Daylight Time)
sub-NDARRL315KV3_ses-HBNsiteCBIC,1,Sat Mar 27 2021 14:50:34 GMT-0700 (Pacific Daylight Time)
sub-NDARNZ917TDK_ses-HBNsiteRU,-2,Thu Apr 01 2021 22:40:37 GMT-0700 (Pacific Daylight Time)
sub-NDARJA157YB3_ses-HBNsiteRU,1,Thu Apr 01 2021 22:38:39 GMT-0700 (Pacific Daylight Time)
sub-NDARME736MN8_ses-HBNsiteRU,2,Thu Apr 01 2021 22:30:50 GMT-0700 (Pacific Daylight Time)
sub-NDARLB547HJD_ses-HBNsiteRU,1,Thu Apr 01 2021 23:12:18 GMT-0700 (Pacific Daylight Time)
sub-NDARUU801VFA_ses-HBNsiteRU,2,Thu Apr 01 2021 22:38:07 GMT-0700 (Pacific Daylight Time)
sub-NDARDJ204EPU_ses-HBNsiteCUNY,2,Mon Mar 29 2021 14:55:31 GMT-0700 (Pacific Daylight Time)
sub-NDARRK545WNM_ses-HBNsiteCBIC,1,Sat Mar 27 2021 22:43:21 GMT-0700 (Pacific Daylight Time)
sub-NDARTV034RN2_ses-HBNsiteRU,-1,Thu Apr 01 2021 22:31:53 GMT-0700 (Pacific Daylight Time)
sub-NDARTT194LTU_ses-HBNsiteRU,-2,Fri Apr 02 2021 20:36:54 GMT-0700 (Pacific Daylight Time)
sub-NDARDK794WV3_ses-HBNsiteCBIC,-2,Thu Apr 01 2021 22:50:04 GMT-0700 (Pacific Daylight Time)
sub-NDARRH344TL7_ses-HBNsiteRU,1,Thu Apr 01 2021 23:00:32 GMT-0700 (Pacific Daylight Time)
sub-NDARCU736GZ1_ses-HBNsiteCBIC,2,Thu Apr 01 2021 23:03:49 GMT-0700 (Pacific Daylight Time)
sub-NDARUP249AMD_ses-HBNsiteRU,2,Thu Apr 01 2021 22:57:02 GMT-0700 (Pacific Daylight Time)
sub-NDARVB151GXF_ses-HBNsiteCBIC,-2,Fri Apr 02 2021 20:39:11 GMT-0700 (Pacific Daylight Time)
sub-NDARRP609JH2_ses-HBNsiteCBIC,-2,Sat Mar 27 2021 20:16:39 GMT-0700 (Pacific Daylight Time)
sub-NDARGP984YLN_ses-HBNsiteCBIC,-2,Thu Apr 01 2021 22:33:39 GMT-0700 (Pacific Daylight Time)
sub-NDARWV449GEM_ses-HBNsiteRU,-2,Tue Mar 30 2021 10:13:29 GMT-0700 (Pacific Daylight Time)
sub-NDARNF873FCV_ses-HBNsiteCBIC,2,Thu Apr 01 2021 22:26:48 GMT-0700 (Pacific Daylight Time)
sub-NDARDR950CGG_ses-HBNsiteRU,2,Thu Apr 01 2021 22:28:10 GMT-0700 (Pacific Daylight Time)
sub-NDARZV749GAP_ses-HBNsiteCBIC,1,Thu Apr 01 2021 22:54:37 GMT-0700 (Pacific Daylight Time)
sub-NDARLE417RA4_ses-HBNsiteRU,-2,Thu Apr 01 2021 23:00:05 GMT-0700 (Pacific Daylight Time)
sub-NDARPF042DD2_ses-HBNsiteRU,-2,Fri Apr 02 2021 21:45:32 GMT-0700 (Pacific Daylight Time)
sub-NDARDA472JE3_ses-HBNsiteRU,1,Thu Apr 01 2021 22:30:12 GMT-0700 (Pacific Daylight Time)
sub-NDARKV461KGZ_ses-HBNsiteRU,2,Sat Mar 27 2021 16:02:31 GMT-0700 (Pacific Daylight Time)
sub-NDARHB689WH7_ses-HBNsiteRU,-1,Fri Apr 02 2021 20:42:23 GMT-0700 (Pacific Daylight Time)
sub-NDAREF624KJN_ses-HBNsiteRU,-1,Fri Apr 02 2021 20:57:34 GMT-0700 (Pacific Daylight Time)
sub-NDARVD495YP9_ses-HBNsiteCUNY,1,Sat Mar 27 2021 20:09:13 GMT-0700 (Pacific Daylight Time)
sub-NDARFB384XJ9_ses-HBNsiteCUNY,1,Sat Mar 27 2021 15:57:30 GMT-0700 (Pacific Daylight Time)
sub-NDARTT272WT5_ses-HBNsiteRU,1,Thu Apr 01 2021 22:52:51 GMT-0700 (Pacific Daylight Time)
sub-NDARFG943GVZ_ses-HBNsiteCBIC,2,Sat Mar 27 2021 15:25:20 GMT-0700 (Pacific Daylight Time)
sub-NDARVD194JX2_ses-HBNsiteRU,2,Fri Apr 02 2021 21:46:44 GMT-0700 (Pacific Daylight Time)
sub-NDARXZ850KHQ_ses-HBNsiteCUNY,-2,Fri Apr 02 2021 20:53:23 GMT-0700 (Pacific Daylight Time)
sub-NDARNW945XLL_ses-HBNsiteRU,-2,Fri Apr 02 2021 20:33:12 GMT-0700 (Pacific Daylight Time)
sub-NDARDZ425JVB_ses-HBNsiteCBIC,2,Thu Apr 01 2021 22:36:59 GMT-0700 (Pacific Daylight Time)
sub-NDARPK237YHD_ses-HBNsiteRU,-2,Thu Apr 01 2021 22:29:28 GMT-0700 (Pacific Daylight Time)
sub-NDARDL291DN4_ses-HBNsiteRU,-1,Thu Apr 01 2021 23:09:38 GMT-0700 (Pacific Daylight Time)
sub-NDARJL656RDA_ses-HBNsiteCBIC,1,Sat Mar 27 2021 20:06:50 GMT-0700 (Pacific Daylight Time)
sub-NDARJC399UW7_ses-HBNsiteCBIC,-2,Thu Apr 01 2021 23:17:51 GMT-0700 (Pacific Daylight Time)
sub-NDARHA387FPM_ses-HBNsiteRU,-1,Sat Mar 27 2021 22:35:11 GMT-0700 (Pacific Daylight Time)
sub-NDARYW946VTC_ses-HBNsiteCBIC,0,Sat Mar 27 2021 22:28:12 GMT-0700 (Pacific Daylight Time)
sub-NDARDU853XZ6_ses-HBNsiteRU,1,Thu Apr 01 2021 23:05:39 GMT-0700 (Pacific Daylight Time)
sub-NDARTD624AF9_ses-HBNsiteRU,2,Thu Apr 01 2021 22:33:09 GMT-0700 (Pacific Daylight Time)
sub-NDARMK100DJR_ses-HBNsiteCBIC,-2,Sat Mar 27 2021 22:39:46 GMT-0700 (Pacific Daylight Time)
