subject,rating,whenRated
sub-NDARTF781TM8_ses-HBNsiteCBIC,2,Mon Apr 12 2021 11:42:05 GMT-0700 (Pacific Daylight Time)
sub-NDARVC711ZK0_ses-HBNsiteCBIC,-2,Sat Apr 10 2021 14:40:29 GMT-0700 (Pacific Daylight Time)
sub-NDARDX857DLB_ses-HBNsiteRU,2,Mon Apr 12 2021 20:59:35 GMT-0700 (Pacific Daylight Time)
sub-NDARJH492TVW_ses-HBNsiteCBIC,2,Mon Apr 12 2021 10:58:16 GMT-0700 (Pacific Daylight Time)
sub-NDARTB203DU7_ses-HBNsiteCBIC,-1,Mon Apr 12 2021 15:04:50 GMT-0700 (Pacific Daylight Time)
sub-NDARKM250ET5_ses-HBNsiteCBIC,-2,Tue Apr 13 2021 05:05:16 GMT-0700 (Pacific Daylight Time)
sub-NDAREX065KJU_ses-HBNsiteRU,-2,Sat Apr 10 2021 05:30:25 GMT-0700 (Pacific Daylight Time)
sub-NDARWG549LCF_ses-HBNsiteCBIC,0,Mon Apr 12 2021 17:02:56 GMT-0700 (Pacific Daylight Time)
sub-NDARGB528CP8_ses-HBNsiteCBIC,0,Mon Apr 12 2021 21:30:22 GMT-0700 (Pacific Daylight Time)
sub-NDARRL315KV3_ses-HBNsiteCBIC,2,Mon Apr 12 2021 15:02:06 GMT-0700 (Pacific Daylight Time)
sub-NDARNZ917TDK_ses-HBNsiteRU,-2,Tue Apr 13 2021 04:30:00 GMT-0700 (Pacific Daylight Time)
sub-NDARJA157YB3_ses-HBNsiteRU,2,Sat Apr 10 2021 13:37:31 GMT-0700 (Pacific Daylight Time)
sub-NDARME736MN8_ses-HBNsiteRU,2,Sat Apr 10 2021 16:41:57 GMT-0700 (Pacific Daylight Time)
sub-NDARLB547HJD_ses-HBNsiteRU,-1,Sat Apr 10 2021 14:00:05 GMT-0700 (Pacific Daylight Time)
sub-NDARUU801VFA_ses-HBNsiteRU,2,Sat Apr 10 2021 15:49:26 GMT-0700 (Pacific Daylight Time)
sub-NDARDJ204EPU_ses-HBNsiteCUNY,1,Mon Apr 12 2021 09:30:53 GMT-0700 (Pacific Daylight Time)
sub-NDARRK545WNM_ses-HBNsiteCBIC,1,Mon Apr 12 2021 09:23:56 GMT-0700 (Pacific Daylight Time)
sub-NDARTV034RN2_ses-HBNsiteRU,1,Sat Apr 10 2021 16:06:04 GMT-0700 (Pacific Daylight Time)
sub-NDARTT194LTU_ses-HBNsiteRU,1,Mon Apr 12 2021 16:35:01 GMT-0700 (Pacific Daylight Time)
sub-NDARDK794WV3_ses-HBNsiteCBIC,-2,Tue Apr 13 2021 04:49:22 GMT-0700 (Pacific Daylight Time)
sub-NDARRH344TL7_ses-HBNsiteRU,1,Mon Apr 12 2021 14:47:35 GMT-0700 (Pacific Daylight Time)
sub-NDARCU736GZ1_ses-HBNsiteCBIC,1,Mon Apr 12 2021 10:01:36 GMT-0700 (Pacific Daylight Time)
